Tag No.,Measurement Flag,Measured Value,Estimate,Sigma,Gross Error Flag,Unit
Natural Gas from GAIL
N2_NS5c,0,0.00063,0.000634745382489,6.3e-06,2,xfrac
CO2_NS5c,0,0.0144,0.0171858333528,0.000144,2,xfrac
H2_NS5c,0,0.0494,0.059719768503,0.000494,2,xfrac
H2O_NS5c,0,0.7258,0.716267375888,0.007258,2,xfrac
CH4_NS5c,0,0.20947,0.205961499358,0.0020947,2,xfrac
Inlet to E-6-2
FU_NS5d,0,327.0,322.057273766,3.27,2,KMOl/HR
TI3130,2,600.0,600.0,6.0,2,C
PU_NS5d,2,28.9,28.9,0.29,2,kg/cm2
CO_NS5d,0,0.000194,0.00023077751502,1.94e-06,2,xfrac
N2_NS5d,0,0.00063,0.000634745382489,6.3e-06,2,xfrac
CO2_NS5d,0,0.0144,0.0171858333528,0.000144,2,xfrac
H2_NS5d,0,0.0494,0.059719768503,0.000494,2,xfrac
H2O_NS5d,0,0.7258,0.716267375888,0.007258,2,xfrac
CH4_NS5d,0,0.20947,0.205961499358,0.0020947,2,xfrac
Outlet of  Steam Reformer or Hotside inlet of RG Boiler
FU_NS6,0,417.36,425.954396724,4.17,2,KMOl/HR
TI3132,2,838.3,838.3,8.3,2,C
PU_NS6,2,26.98,26.98,0.3,2,kg/cm2
CO_NS6,1,0.1206,0.123659924924,0.001206,0,xfrac
N2_NS6,1,0.0006,0.00076760562519,6e-06,0,xfrac
CO2_NS6,1,0.0941,0.0924670503287,0.000941,0,xfrac
H2_NS6,1,0.7316,0.729098418321,0.007316,0,xfrac
H2O_NS6,0,0.4461,0.37478209274,0.004461,2,xfrac
CH4_NS6,1,0.0531,0.0540070008008,0.000531,0,xfrac
Inlet of HT shift Reactor or Hotside outlet of RG Boiler
FU_NS7,0,453.29,425.954396724,4.53,2,KMOl/HR
TIC3135,2,354.48,354.48,3.5448,2,C
PI3129,2,26.67,26.67,0.2667,2,kg/cm2
CO_NS7,0,0.1093,0.0773143994731,0.001093,2,xfrac
N2_NS7,0,0.00035,0.000479920782582,3.5e-06,2,xfrac
CO2_NS7,0,0.0111,0.057812055697,0.000111,2,xfrac
H2_NS7,0,0.3664,0.455845387289,0.003664,2,xfrac
H2O_NS7,0,0.4826,0.37478209274,0.004826,2,xfrac
CH4_NS7,0,0.0386,0.0337661440181,0.000386,2,xfrac
Coldside inlet of RG Boiler
FI4110,1,3949.0,3949.00000291,88.3444504755,0,KG/HR
TU_W1,2,237.0,237.0,0.5,2,C
PU_W1,2,32.4,32.4,0.25,2,kg/cm2
Coldside outlet of RG Boiler
FU_ST3,0,3949.0,3949.00000291,39.49,2,KG/HR
TU_ST3,2,240.0,240.0,2.4,2,C
PU_ST3,2,32.4,32.4,0.3,2,kg/cm2
Inlet of LT shift Reactor or Hotside outlet of E-16 Exchanger
FU_HT3,0,451.236,425.954396724,4.51236,2,KMOl/HR
TI4174,2,185.17,185.17,1.8517,2,C
PU_HT3,2,25.7,25.7,0.25,2,kg/cm2
CO_HT3,0,0.0156,0.0184119342008,0.000156,2,xfrac
N2_HT3,0,0.000326,0.000479920782582,3.26e-06,2,xfrac
CO2_HT3,0,0.1052,0.116714520969,0.001052,2,xfrac
H2_HT3,0,0.4618,0.514747852561,0.004618,2,xfrac
H2O_HT3,0,0.38629,0.315879627468,0.0038629,2,xfrac
CH4_HT3,0,0.030695,0.0337661440181,0.00030695,2,xfrac
Cold side inlet of E-16
FU_W2,0,422.34,481.124664415,4.2234,2,KMOL/HR
TU_W2,2,40.0,40.0,0.3,2,C
PU_W2,2,25.0,25.0,0.25,2,kg/cm2
Cold side outlet of E-16
